2052 18:06:21 WARN  A duplicate setting "ContentSearch.SearchMaxResults" has been detected in the Sitecore.ContentSearch.Solr.DefaultIndexConfiguration.config file. The value of the setting will be changed to "500".
Heartbeat 18:06:29 INFO  Cache created: 'SqlDataProvider - Property data(core)' (max size: 500KB, running total: 722MB)
Heartbeat 18:06:30 INFO  Cache created: 'SqlDataProvider - Property data(master)' (max size: 500KB, running total: 723MB)
Heartbeat 18:06:30 INFO  Cache created: 'SqlDataProvider - Property data(web)' (max size: 500KB, running total: 723MB)
2052 18:06:32 INFO  HttpModule is being initialized
2052 18:06:32 WARN  The "Pipelines.Profiling.Enabled" setting contains an invalid value. The default value is used instead. Invalid value: "". Default value: "False"
2052 18:06:32 INFO  
2052 18:06:32 INFO  **********************************************************************
2052 18:06:32 INFO  **********************************************************************
2052 18:06:32 INFO  Sitecore started
2052 18:06:32 INFO  Sitecore.NET 8.0 (rev. 150621)
2052 18:06:32 INFO  
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\antlr3.runtime.dll (Antlr3.Runtime)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\aspnet.scriptmanager.bootstrap.dll (AspNet.ScriptManager.bootstrap)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\aspnet.scriptmanager.jquery.dll (AspNet.ScriptManager.jQuery)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\castle.core.dll (Castle.Core, Castle.Core 3.3.3 for .NETFramework v4.5, 3.3.3.58)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\castle.facilities.solrnetintegration.dll (Castle.Facilities.SolrNetIntegration, Castle.Facilities.SolrNetIntegration, 4264843fb45f6ea6db335faca1164bda2b4c3bbf)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\castle.windsor.dll (Castle.Windsor, Castle.Windsor 3.1.0 for .NETFramework v4.0, 3.1.0.2361)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\componentart.web.ui.dll ()
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\csquery.dll (CsQuery, CsQuery is a CSS selector engine and jQuery port for .NET 4 and C#)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\customfields.accountselector.dll (AccountSelectorAssembly)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\dotnetopenauth.dll (DotNetOpenAuth, 1c99bf16c5b570cadcf27d0b9ce3d598d06b34ca)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\ecmascript.net.dll (Modified version of the EcmaScript.NET assembly)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\facebook.dll (Facebook C# SDK, Facebook C# SDK)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\facebookapi.dll (FacebookAPI)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\google.apis.authentication.oauth2.dll (OAuth2 Authentication Library)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\google.apis.dll ()
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\google.apis.plus.v1.dll (Google.Apis.Plus.v1)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\hammock.clientprofile.dll (Hammock)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\htmlagilitypack.dll (Html Agility Pack, 1.4.6.0)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\iesi.collections.dll (Iesi.Collections, Enhanced Collections for .NET.  Code was published at http://www.codeproject.com/csharp/sets.asp, 1.0)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\ithit.webdav.server.dll (WebDav Server .Net v2, IT Hit WebDAV Server .Net v2)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.analyzers.dll (Lucene.Net.Contrib.Analyzers)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.core.dll (Lucene.Net.Contrib.Core, Contributions to the Lucene.Net core library)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.fastvectorhighlighter.dll (Lucene.Net.Contrib.FastVectorHighlighter, FastVectorHighlighter for Lucene.Net)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.highlighter.dll (Lucene.Net.Contrib.Highlighter, The Apache Software Foundation Lucene.Net a full-text search engine library, 2.3.2)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.memory.dll (Contrib.Memory)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.queries.dll (Lucene.Net.Contrib.Queries)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.regex.dll (Lucene.Net.Contrib.Regex)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.simplefacetedsearch.dll (Lucene.Net.SimpleFacetedSearch, SimpleFacetedSearch for Lucene.Net)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.snowball.dll (Lucene.Net.Contrib.Snowball, The Apache Software Foundation Lucene.Net a full-text search engine library, 2.0)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.spellchecker.dll (SpellChecker.Net, The Apache Software Foundation Lucene.Net a full-text search engine library, 3.0.3)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.dll (Lucene.Net, The Apache Software Foundation Lucene.Net a full-text search engine library, 3.0.3)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.agent.intercept.dll (Microsoft.AI.Agent.Intercept)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.dependencycollector.dll ()
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.perfcountercollector.dll ()
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.servertelemetrychannel.dll ()
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.web.dll (Application Insights .NET SDK, Application Insights for Web Applications)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.windowsserver.dll ()
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.applicationinsights.dll ()
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.aspnet.friendlyurls.dll (Microsoft ASP.NET Friendly URLs, Microsoft.AspNet.FriendlyUrls.dll, 1.0.2)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.aspnet.web.optimization.webforms.dll (Microsoft.AspNet.Web.Optimization.WebForms, A WebForms control for Microsoft.AspNet.Web.Optimization, 1.1.0)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.codedom.providers.dotnetcompilerplatform.dll (Microsoft.CodeDom.Providers.DotNetCompilerPlatform, 1.0.0-20615)
2052 18:06:32 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.practices.servicelocation.dll (Microsoft.Practices.ServiceLocation, A simple facade that provides insulation from specific IoC containers)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.scriptmanager.msajax.dll (Microsoft ASP.NET)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.scriptmanager.webforms.dll (Microsoft ASP.NET)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.web.infrastructure.dll (Microsoft ASP.Net WebPages)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\mongodb.bson.dll (MongoDB.Bson, Official 10gen supported C# BSON library. See http://www.mongodb.org/display/DOCS/CSharp+Language+Center for more details, {version: '1.8.3.9', semver: '1.8.3', commit: '28c1204b9d0e70ca2648a6f90f9a29035e7ad62c', commit_date: '2013-09-30 12:07:25'})
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\mongodb.driver.dll (MongoDB.Driver, Official 10gen supported C# driver for MongoDB.  See http://www.mongodb.org/display/DOCS/CSharp+Language+Center for more details, {version: '1.8.3.9', semver: '1.8.3', commit: '28c1204b9d0e70ca2648a6f90f9a29035e7ad62c', commit_date: '2013-09-30 12:07:25'})
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\mvp.xml.dll (MVP XML Library)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\newtonsoft.json.dll (Json.NET, Json.NET is a popular high-performance JSON framework for .NET)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\oauthlinkedin.dll (OAuthLinkedIn)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\protobuf-net.dll (protobuf-net, Protocol Buffers for .NET)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\radeditor.net2.dll (RadEditor, Telerik RadEditor)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.abstractions.dll (Sitecore Buckets, 1.0.0 rev. 140127)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.aggregation.dll (Sitecore CMS, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.automation.aggregation.dll (Sitecore CMS, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.automation.dll (Sitecore EAS, Sitecore Engagement Automation Suite, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.automation.mongodb.dll (Sitecore CMS, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.core.dll (Sitecore CMS, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.dataaccess.dll (Sitecore CMS, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.dll (Sitecore DMS, Sitecore Digital Marketing System, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.model.dll (Sitecore CMS, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.mongodb.dll (Sitecore DMS, Sitecore Digital Marketing System MongoDB Connector, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.omnichannel.dll (Sitecore Analytics Channel Provider, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.outcome.dll (Sitecore.Analytics.Outcome, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.processing.dll (Sitecore CMS, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.robotdetection.dll (Sitecore Robot Detection, 1.0.0 rev. 150205)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.sql.dll (Sitecore CMS, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.apps.loader.dll (Sitecore.Apps.Loader, 1.0.0 rev. 130822)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.apps.taginjection.dll (Sitecore Tag Management, 1.0.0 rev. 140814)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.buckets.client.dll (Sitecore Buckets, The assembly can be used to have Sitecore queries driven via a query, 1.0.0 rev. 150612)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.buckets.dll (Sitecore Buckets, The assembly can be used to have Sitecore queries driven via search providers, 1.0.0 rev. 150612)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cintel.client.dll (Sitecore Experience Profile, 1.0.0 rev. 150205)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cintel.dll (Sitecore Experience Profile, 1.0.0 rev. 150205)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.client.dll (Sitecore CMS, Sitecore Client Application, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.client.licenseoptions.dll (Sitecore Speak Applications, 1.3.1 rev. 150529)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.contentsearch.dll (Sitecore.Cloud.ContentSearch, 8.0 rev. 150403)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.nexus.dll (Sitecore.Cloud.Nexus)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.restclient.dll (Sitecore.Cloud.RestClient)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.servicemodel.dll (Sitecore.Cloud.ServiceModel)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.xdb.dll (Sitecore.Cloud.Xdb, 8.0 rev. 150612)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.xdb.servicemodel.dll (Sitecore.Cloud.ScS.Xdb.Discovery.ServiceModel)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.analytics.client.dll (Sitecore Buckets, 1.0.0 rev. 150612)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.analytics.dll (Sitecore Buckets, 1.0.0 rev. 150612)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.client.dll (Sitecore Buckets, 1.0.0 rev. 150612)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.dll (Sitecore Buckets, Sitecore CMS Search, 1.0.0 rev. 150612)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.linq.dll (Sitecore Buckets, Sitecore CMS Search, 1.0.0 rev. 150612)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.linq.lucene.dll (Sitecore Buckets, 1.0.0 rev. 150612)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.linq.solr.dll (Sitecore Buckets, 1.0.0 rev. 151113)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.luceneprovider.dll (Sitecore Buckets, Sitecore CMS Search, 1.0.0 rev. 150612)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.solrprovider.castlewindsorintegration.dll (Sitecore Buckets, 1.0.0 rev. 151113)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.solrprovider.dll (Sitecore Buckets, 1.0.0 rev. 151113)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contenttesting.dll (Sitecore CMS)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contenttesting.intelligence.dll (Sitecore CMS)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contenttesting.mvc.dll (Sitecore CMS)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.controlpanel.dll (Sitecore Speak Applications, 1.3.1 rev. 150529)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceanalytics.client.dll (Sitecore Experience Analytics, 1.0.2 rev. 150618)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceanalytics.dll (Sitecore Experience Analytics, 1.0.2 rev. 150618)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceeditor.dll (Sitecore Experience Editor, 1.0.0 rev. 150406)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceeditor.speak.dll (Sitecore Experience Editor, 1.0.0 rev. 150406)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceeditor.speak.ribbon.dll (Sitecore Experience Editor, 1.0.0 rev. 150406)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceexplorer.business.dll (Sitecore.ExperienceExplorer.Business, 1.0.0.0 rev. 0)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceexplorer.web.dll (Sitecore.ExperienceExplorer, The Experience Explorer is intended to seamlessly enable marketers to explorer their web-site as experienced by their primary target audiences. With a single, integrated solution, the module allows marketers to create and impersonate themselves as pre-defined arch-types and discover new capabilities of their site. With improved insights and awareness of the sites personalization and behavior, the module allows marketers to become more efficiently in maximizing the business value for their customers using the Sitecore Customer Engagement Platform, 1.0.0.0 rev. 0)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.forms.core.dll (Web Forms for Marketers 8.0.rev. 151127, 8.0 rev. 151127)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.forms.custom.dll (Web Forms for Marketers 8.0.rev. 151127, 8.0 rev. 151127)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.fxm.client.dll (Sitecore Federated Experience Manager, 10.1 rev. 150315 )
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.fxm.dll (Sitecore Federated Experience Manager, 10.1 rev. 150315 )
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.fxm.service.dll (Sitecore Federated Experience Manager, 10.1 rev. 150315 )
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.fxm.speak.dll (Sitecore Federated Experience Manager, 10.1 rev. 150315 )
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.itemwebapi.dll (Sitecore Item Web API, 1.2.0 rev. 141016)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.kernel.dll (Sitecore CMS, Sitecore CMS Kernel Library, 8.0 rev. 151127)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.launchpad.dll (Sitecore LaunchPad, 1.0 rev. 150403)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.analytics.dll (Sitecore List Manager, 1.0.4 rev. 150603)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.client.dll (Sitecore List Manager, 1.0.4 rev. 150603)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.contentsearch.dll (Sitecore List Manager, 1.0.4 rev. 150603)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.dll (Sitecore List Manager, 1.0.4 rev. 150603)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.services.dll (Sitecore List Manager, 1.0.4 rev. 150603)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.logging.dll (Sitecore CMS, Sitecore Logging Framework, 6.6.0 rev. 120918)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.marketing.client.dll (Sitecore.Marketing.Client, 1.0.0 rev. 141201)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.marketing.definitions.marketingassets.repositories.dll (Sitecore Marketing Asset Repositories 1.0.0, 1.0.0 rev. 150126)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.marketing.dll (Sitecore.Marketing, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.marketing.taxonomy.dll (Sitecore.Marketing.Taxonomy, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.mvc.analytics.dll (Sitecore Mvc Analytics 1.0.0, 1.0.0 rev. 141017)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.mvc.devicesimulator.dll (Sitecore Mvc Device Simulators 1.0.0, 1.0.0 rev. 140611)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.mvc.dll (Sitecore Mvc 1.0.0, 1.0.0 rev. 150127)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.mvc.experienceeditor.dll (Sitecore Mvc Experience Editor, 1.0.0 rev. 150323)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.nexus.dll (Sitecore.Nexus)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.nvelocity.dll (Sitecore CMS, Sitecore Macro Expansion Library, 6.6.0 rev. 120918)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.oracle.dll (Sitecore CMS, Oracle Data Provider for Sitecore, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.pathanalyzer.client.dll (Sitecore.PathAnalyzer.Client)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.pathanalyzer.dll (Sitecore.PathAnalyzer)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.pathanalyzer.services.dll (Sitecore.PathAnalyzer.Services)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.publishing.webdeploy.dll (Sitecore CMS, Sitecore publishing infrastructure based on Web Deployment Tool, 8.0 rev. 150621)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.security.anticsrf.dll (Sitecore AntiCSRF Module 1.0.0, 1.0.0 rev. 141119)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.segmentbuilder.dll (Sitecore Segment Builder 1.0.0, 1.0.0 rev. 150204)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.sequenceanalyzer.dll (Sitecore.SequenceAnalyzer)
2052 18:06:33 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.services.client.dll (Sitecore Services 1.0.0, Sitecore Services, 1.0.0)
