10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\ecmascript.net.dll (Modified version of the EcmaScript.NET assembly)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\facebook.dll (Facebook C# SDK, Facebook C# SDK)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\facebookapi.dll (FacebookAPI)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\google.apis.authentication.oauth2.dll (OAuth2 Authentication Library)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\google.apis.dll ()
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\google.apis.plus.v1.dll (Google.Apis.Plus.v1)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\hammock.clientprofile.dll (Hammock)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\htmlagilitypack.dll (Html Agility Pack, 1.4.6.0)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\iesi.collections.dll (Iesi.Collections, Enhanced Collections for .NET.  Code was published at http://www.codeproject.com/csharp/sets.asp, 1.0)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\ithit.webdav.server.dll (WebDav Server .Net v2, IT Hit WebDAV Server .Net v2)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.analyzers.dll (Lucene.Net.Contrib.Analyzers)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.core.dll (Lucene.Net.Contrib.Core, Contributions to the Lucene.Net core library)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.fastvectorhighlighter.dll (Lucene.Net.Contrib.FastVectorHighlighter, FastVectorHighlighter for Lucene.Net)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.highlighter.dll (Lucene.Net.Contrib.Highlighter, The Apache Software Foundation Lucene.Net a full-text search engine library, 2.3.2)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.memory.dll (Contrib.Memory)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.queries.dll (Lucene.Net.Contrib.Queries)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.regex.dll (Lucene.Net.Contrib.Regex)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.simplefacetedsearch.dll (Lucene.Net.SimpleFacetedSearch, SimpleFacetedSearch for Lucene.Net)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.snowball.dll (Lucene.Net.Contrib.Snowball, The Apache Software Foundation Lucene.Net a full-text search engine library, 2.0)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.spellchecker.dll (SpellChecker.Net, The Apache Software Foundation Lucene.Net a full-text search engine library, 3.0.3)
