8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.automation.aggregation.dll (Sitecore CMS, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.automation.dll (Sitecore EAS, Sitecore Engagement Automation Suite, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.automation.mongodb.dll (Sitecore CMS, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.core.dll (Sitecore CMS, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.dataaccess.dll (Sitecore CMS, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.dll (Sitecore DMS, Sitecore Digital Marketing System, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.model.dll (Sitecore CMS, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.mongodb.dll (Sitecore DMS, Sitecore Digital Marketing System MongoDB Connector, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.omnichannel.dll (Sitecore Analytics Channel Provider, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.outcome.dll (Sitecore.Analytics.Outcome, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.processing.dll (Sitecore CMS, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.robotdetection.dll (Sitecore Robot Detection, 1.0.0 rev. 150205)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.analytics.sql.dll (Sitecore CMS, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.apps.loader.dll (Sitecore.Apps.Loader, 1.0.0 rev. 130822)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.apps.taginjection.dll (Sitecore Tag Management, 1.0.0 rev. 140814)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.buckets.client.dll (Sitecore Buckets, The assembly can be used to have Sitecore queries driven via a query, 1.0.0 rev. 150612)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.buckets.dll (Sitecore Buckets, The assembly can be used to have Sitecore queries driven via search providers, 1.0.0 rev. 150612)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cintel.client.dll (Sitecore Experience Profile, 1.0.0 rev. 150205)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cintel.dll (Sitecore Experience Profile, 1.0.0 rev. 150205)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.client.dll (Sitecore CMS, Sitecore Client Application, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.client.licenseoptions.dll (Sitecore Speak Applications, 1.3.1 rev. 150529)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.contentsearch.dll (Sitecore.Cloud.ContentSearch, 8.0 rev. 150403)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.nexus.dll (Sitecore.Cloud.Nexus)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.restclient.dll (Sitecore.Cloud.RestClient)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.servicemodel.dll (Sitecore.Cloud.ServiceModel)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.xdb.dll (Sitecore.Cloud.Xdb, 8.0 rev. 150612)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.cloud.xdb.servicemodel.dll (Sitecore.Cloud.ScS.Xdb.Discovery.ServiceModel)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.analytics.client.dll (Sitecore Buckets, 1.0.0 rev. 150612)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.analytics.dll (Sitecore Buckets, 1.0.0 rev. 150612)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.client.dll (Sitecore Buckets, 1.0.0 rev. 150612)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.dll (Sitecore Buckets, Sitecore CMS Search, 1.0.0 rev. 150612)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.linq.dll (Sitecore Buckets, Sitecore CMS Search, 1.0.0 rev. 150612)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.linq.lucene.dll (Sitecore Buckets, 1.0.0 rev. 150612)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.luceneprovider.dll (Sitecore Buckets, Sitecore CMS Search, 1.0.0 rev. 150612)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contenttesting.dll (Sitecore CMS)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contenttesting.intelligence.dll (Sitecore CMS)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contenttesting.mvc.dll (Sitecore CMS)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.controlpanel.dll (Sitecore Speak Applications, 1.3.1 rev. 150529)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceanalytics.client.dll (Sitecore Experience Analytics, 1.0.2 rev. 150618)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceanalytics.dll (Sitecore Experience Analytics, 1.0.2 rev. 150618)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceeditor.dll (Sitecore Experience Editor, 1.0.0 rev. 150406)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceeditor.speak.dll (Sitecore Experience Editor, 1.0.0 rev. 150406)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceeditor.speak.ribbon.dll (Sitecore Experience Editor, 1.0.0 rev. 150406)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceexplorer.business.dll (Sitecore.ExperienceExplorer.Business, 1.0.0.0 rev. 0)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceexplorer.web.dll (Sitecore.ExperienceExplorer, The Experience Explorer is intended to seamlessly enable marketers to explorer their web-site as experienced by their primary target audiences. With a single, integrated solution, the module allows marketers to create and impersonate themselves as pre-defined arch-types and discover new capabilities of their site. With improved insights and awareness of the sites personalization and behavior, the module allows marketers to become more efficiently in maximizing the business value for their customers using the Sitecore Customer Engagement Platform, 1.0.0.0 rev. 0)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.fxm.client.dll (Sitecore Federated Experience Manager, 10.1 rev. 150315 )
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.fxm.dll (Sitecore Federated Experience Manager, 10.1 rev. 150315 )
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.fxm.service.dll (Sitecore Federated Experience Manager, 10.1 rev. 150315 )
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.fxm.speak.dll (Sitecore Federated Experience Manager, 10.1 rev. 150315 )
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.itemwebapi.dll (Sitecore Item Web API, 1.2.0 rev. 141016)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.kernel.dll (Sitecore CMS, Sitecore CMS Kernel Library, 8.0 rev. 150621)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.launchpad.dll (Sitecore LaunchPad, 1.0 rev. 150403)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.analytics.dll (Sitecore List Manager, 1.0.4 rev. 150603)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.client.dll (Sitecore List Manager, 1.0.4 rev. 150603)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.contentsearch.dll (Sitecore List Manager, 1.0.4 rev. 150603)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.dll (Sitecore List Manager, 1.0.4 rev. 150603)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.listmanagement.services.dll (Sitecore List Manager, 1.0.4 rev. 150603)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.logging.dll (Sitecore CMS, Sitecore Logging Framework, 6.6.0 rev. 120918)
8896 10:42:02 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.marketing.client.dll (Sitecore.Marketing.Client, 1.0.0 rev. 141201)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.marketing.definitions.marketingassets.repositories.dll (Sitecore Marketing Asset Repositories 1.0.0, 1.0.0 rev. 150126)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.marketing.dll (Sitecore.Marketing, 8.0 rev. 150621)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.marketing.taxonomy.dll (Sitecore.Marketing.Taxonomy, 8.0 rev. 150621)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.mvc.analytics.dll (Sitecore Mvc Analytics 1.0.0, 1.0.0 rev. 141017)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.mvc.devicesimulator.dll (Sitecore Mvc Device Simulators 1.0.0, 1.0.0 rev. 140611)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.mvc.dll (Sitecore Mvc 1.0.0, 1.0.0 rev. 150127)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.mvc.experienceeditor.dll (Sitecore Mvc Experience Editor, 1.0.0 rev. 150323)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.nexus.dll (Sitecore.Nexus)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.nvelocity.dll (Sitecore CMS, Sitecore Macro Expansion Library, 6.6.0 rev. 120918)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.oracle.dll (Sitecore CMS, Oracle Data Provider for Sitecore, 8.0 rev. 150621)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.pathanalyzer.client.dll (Sitecore.PathAnalyzer.Client)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.pathanalyzer.dll (Sitecore.PathAnalyzer)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.pathanalyzer.services.dll (Sitecore.PathAnalyzer.Services)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.publishing.webdeploy.dll (Sitecore CMS, Sitecore publishing infrastructure based on Web Deployment Tool, 8.0 rev. 150621)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.security.anticsrf.dll (Sitecore AntiCSRF Module 1.0.0, 1.0.0 rev. 141119)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.segmentbuilder.dll (Sitecore Segment Builder 1.0.0, 1.0.0 rev. 150204)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.sequenceanalyzer.dll (Sitecore.SequenceAnalyzer)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.services.client.dll (Sitecore Services 1.0.0, Sitecore Services, 1.0.0)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.services.core.dll (Sitecore Services 1.0.0, Sitecore Services, 1.0 rev. 141114)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.services.infrastructure.dll (Sitecore Services 1.0.0, Sitecore Services, 1.0 rev. 141114)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.services.infrastructure.sitecore.dll (Sitecore Services 1.0.0, Sitecore Services, 1.0 rev. 141114)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.sessionprovider.dll (Sitecore CMS, 8.0 rev. 150621)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.sessionprovider.memory.dll (Sitecore CMS, 8.0 rev. 150621)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.sessionprovider.mongodb.dll (Sitecore CMS, 8.0 rev. 150621)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.sessionprovider.sql.dll (Sitecore CMS, 8.0 rev. 150621)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.shell.marketingautomation.dll (Sitecore Engagement Automation Suite 1.0.0, 1.0.0 rev. 150217)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.social.api.dll (Social Connected Module, 8.0 rev. 150528)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.social.client.api.dll (Social Connected Module, 8.0 rev. 150528)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.social.client.common.dll (Social Connected Module, 8.0 rev. 150528)
8896 10:42:03 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.social.client.dll (Social Connected Module, 8.0 rev. 150528)
