10140 20:06:07 WARN  A duplicate setting "ContentSearch.SearchMaxResults" has been detected in the Sitecore.ContentSearch.Solr.DefaultIndexConfiguration.config file. The value of the setting will be changed to "500".
10140 20:06:08 WARN  The "MaxWorkerThreads" setting contains an invalid value. The default value is used instead. Invalid value: "". Default value: "20"
10140 20:06:10 WARN  A duplicate setting "ContentSearch.DefaultIndexConfigurationPath" has been detected in the Sitecore.ContentSearch.Solr.DefaultIndexConfiguration.config file. The value of the setting will be changed to "contentSearch/indexConfigurations/defaultSolrIndexConfiguration".
10140 20:06:10 WARN  The "Media.FileSystemWatcherBufferSize" setting contains an invalid value. The default value is used instead. Invalid value: "". Default value: "8192"
10140 20:06:11 WARN  The "Rules.MaxCachedRules" setting contains an invalid value. The default value is used instead. Invalid value: "". Default value: "819200"
10140 20:06:11 INFO  Heartbeat - Initializing
10140 20:06:11 INFO  Heartbeat - Interval set to: 00:00:02
10140 20:06:11 INFO  Heartbeat - Worker thread started
10140 20:06:11 WARN  The "Caching.DebugEnabled" setting contains an invalid value. The default value is used instead. Invalid value: "". Default value: "False"
10140 20:06:11 INFO  Cache created: 'rules' (max size: 800KB, running total: 800KB)
10140 20:06:12 INFO  Cache created: '[FieldReaderCache]' (max size: 5MB, running total: 5MB)
10140 20:06:14 INFO  Cache created: 'DeviceItemsCache' (max size: 50MB, running total: 55MB)
10140 20:06:14 INFO  Cache created: 'core[data]' (max size: 100MB, running total: 155MB)
10140 20:06:14 INFO  Cache created: 'core[items]' (max size: 50MB, running total: 205MB)
10140 20:06:14 INFO  Cache created: 'core[paths]' (max size: 2MB, running total: 208MB)
10140 20:06:14 INFO  Cache created: 'core[standardValues]' (max size: 2MB, running total: 210MB)
10140 20:06:14 INFO  Cache created: 'core[itempaths]' (max size: 50MB, running total: 260MB)
10140 20:06:14 INFO  Cache created: 'core[blobIDs]' (max size: 500KB, running total: 261MB)
10140 20:06:14 WARN  The "EventQueue.Enabled" setting contains an invalid value. The default value is used instead. Invalid value: "". Default value: "True"
10140 20:06:15 INFO  Cache created: 'master[data]' (max size: 100MB, running total: 361MB)
10140 20:06:15 INFO  Cache created: 'master[items]' (max size: 50MB, running total: 411MB)
10140 20:06:15 INFO  Cache created: 'master[paths]' (max size: 2MB, running total: 413MB)
10140 20:06:15 INFO  Cache created: 'master[standardValues]' (max size: 2MB, running total: 416MB)
10140 20:06:15 INFO  Cache created: 'master[itempaths]' (max size: 50MB, running total: 466MB)
10140 20:06:15 INFO  Cache created: 'master[blobIDs]' (max size: 500KB, running total: 466MB)
10140 20:06:15 INFO  Cache created: 'web[data]' (max size: 100MB, running total: 566MB)
10140 20:06:15 INFO  Cache created: 'web[items]' (max size: 50MB, running total: 616MB)
10140 20:06:15 INFO  Cache created: 'web[paths]' (max size: 2MB, running total: 618MB)
10140 20:06:15 INFO  Cache created: 'web[standardValues]' (max size: 2MB, running total: 621MB)
10140 20:06:15 INFO  Cache created: 'web[itempaths]' (max size: 50MB, running total: 671MB)
10140 20:06:15 INFO  Cache created: 'web[blobIDs]' (max size: 500KB, running total: 671MB)
Heartbeat 20:06:17 INFO  Cache created: 'filesystem[data]' (max size: 0 bytes, running total: 671MB)
Heartbeat 20:06:17 INFO  Cache created: 'filesystem[items]' (max size: 0 bytes, running total: 671MB)
Heartbeat 20:06:17 INFO  Cache created: 'filesystem[paths]' (max size: 0 bytes, running total: 671MB)
Heartbeat 20:06:17 INFO  Cache created: 'filesystem[standardValues]' (max size: 0 bytes, running total: 671MB)
Heartbeat 20:06:17 INFO  Cache created: 'filesystem[itempaths]' (max size: 50MB, running total: 721MB)
Heartbeat 20:06:18 INFO  Cache created: 'filesystem[blobIDs]' (max size: 500KB, running total: 722MB)
Heartbeat 20:06:19 INFO  Cache created: 'SqlDataProvider - Property data(core)' (max size: 500KB, running total: 722MB)
Heartbeat 20:06:20 INFO  Cache created: 'SqlDataProvider - Property data(master)' (max size: 500KB, running total: 723MB)
Heartbeat 20:06:20 INFO  Cache created: 'SqlDataProvider - Property data(web)' (max size: 500KB, running total: 723MB)
10140 20:06:26 INFO  HttpModule is being initialized
10140 20:06:26 WARN  The "Pipelines.Profiling.Enabled" setting contains an invalid value. The default value is used instead. Invalid value: "". Default value: "False"
10140 20:06:26 INFO  
10140 20:06:26 INFO  **********************************************************************
10140 20:06:26 INFO  **********************************************************************
10140 20:06:26 INFO  Sitecore started
10140 20:06:26 INFO  Sitecore.NET 8.0 (rev. 150621)
10140 20:06:26 INFO  
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\antlr3.runtime.dll (Antlr3.Runtime)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\aspnet.scriptmanager.bootstrap.dll (AspNet.ScriptManager.bootstrap)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\aspnet.scriptmanager.jquery.dll (AspNet.ScriptManager.jQuery)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\castle.core.dll (Castle.Core, Castle.Core 3.3.3 for .NETFramework v4.5, 3.3.3.58)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\castle.facilities.solrnetintegration.dll (Castle.Facilities.SolrNetIntegration, Castle.Facilities.SolrNetIntegration, 4264843fb45f6ea6db335faca1164bda2b4c3bbf)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\castle.windsor.dll (Castle.Windsor, Castle.Windsor 3.1.0 for .NETFramework v4.0, 3.1.0.2361)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\cognifide.powershell.dll (Cognifide PowerShell Console for Sitecore, Cognifide PowerShell Console for Sitecore, 2.7.5.0)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\componentart.web.ui.dll ()
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\csquery.dll (CsQuery, CsQuery is a CSS selector engine and jQuery port for .NET 4 and C#)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\customfields.accountselector.dll (AccountSelectorAssembly)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\dotnetopenauth.dll (DotNetOpenAuth, 1c99bf16c5b570cadcf27d0b9ce3d598d06b34ca)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\ecmascript.net.dll (Modified version of the EcmaScript.NET assembly)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\facebook.dll (Facebook C# SDK, Facebook C# SDK)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\facebookapi.dll (FacebookAPI)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\google.apis.authentication.oauth2.dll (OAuth2 Authentication Library)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\google.apis.dll ()
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\google.apis.plus.v1.dll (Google.Apis.Plus.v1)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\hammock.clientprofile.dll (Hammock)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\htmlagilitypack.dll (Html Agility Pack, 1.4.6.0)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\iesi.collections.dll (Iesi.Collections, Enhanced Collections for .NET.  Code was published at http://www.codeproject.com/csharp/sets.asp, 1.0)
10140 20:06:26 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\ithit.webdav.server.dll (WebDav Server .Net v2, IT Hit WebDAV Server .Net v2)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.analyzers.dll (Lucene.Net.Contrib.Analyzers)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.core.dll (Lucene.Net.Contrib.Core, Contributions to the Lucene.Net core library)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.fastvectorhighlighter.dll (Lucene.Net.Contrib.FastVectorHighlighter, FastVectorHighlighter for Lucene.Net)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.highlighter.dll (Lucene.Net.Contrib.Highlighter, The Apache Software Foundation Lucene.Net a full-text search engine library, 2.3.2)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.memory.dll (Contrib.Memory)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.queries.dll (Lucene.Net.Contrib.Queries)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.regex.dll (Lucene.Net.Contrib.Regex)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.simplefacetedsearch.dll (Lucene.Net.SimpleFacetedSearch, SimpleFacetedSearch for Lucene.Net)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.snowball.dll (Lucene.Net.Contrib.Snowball, The Apache Software Foundation Lucene.Net a full-text search engine library, 2.0)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.contrib.spellchecker.dll (SpellChecker.Net, The Apache Software Foundation Lucene.Net a full-text search engine library, 3.0.3)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\lucene.net.dll (Lucene.Net, The Apache Software Foundation Lucene.Net a full-text search engine library, 3.0.3)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.agent.intercept.dll (Microsoft.AI.Agent.Intercept)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.dependencycollector.dll ()
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.perfcountercollector.dll ()
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.servertelemetrychannel.dll ()
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.web.dll (Application Insights .NET SDK, Application Insights for Web Applications)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.ai.windowsserver.dll ()
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.applicationinsights.dll ()
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.aspnet.friendlyurls.dll (Microsoft ASP.NET Friendly URLs, Microsoft.AspNet.FriendlyUrls.dll, 1.0.2)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.aspnet.web.optimization.webforms.dll (Microsoft.AspNet.Web.Optimization.WebForms, A WebForms control for Microsoft.AspNet.Web.Optimization, 1.1.0)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.codedom.providers.dotnetcompilerplatform.dll (Microsoft.CodeDom.Providers.DotNetCompilerPlatform, 1.0.0-20615)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.practices.servicelocation.dll (Microsoft.Practices.ServiceLocation, A simple facade that provides insulation from specific IoC containers)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.scriptmanager.msajax.dll (Microsoft ASP.NET)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.scriptmanager.webforms.dll (Microsoft ASP.NET)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\microsoft.web.infrastructure.dll (Microsoft ASP.Net WebPages)
10140 20:06:27 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\mongodb.bson.dll (MongoDB.Bson, Official 10gen supported C# BSON library. See http://www.mongodb.org/display/DOCS/CSharp+Language+Center for more details, {version: '1.8.3.9', semver: '1.8.3', commit: '28c1204b9d0e70ca2648a6f90f9a29035e7ad62c', commit_date: '2013-09-30 12:07:25'})
